"PLAYER","WINDOW","POSITION","COUNTRY","FROM","TO","DESCRIPTION","PRICE","LEAGUE","SEASON"
"Jonathan Dos Santos","Pre-Season","Midfielder","Mexico","Barcelona","Villarreal","Sold",2000000,"La Liga","14/15"
"Raul Rusescu","Pre-Season","Attacker","Romania","Steaua","Sevilla","Sold",2000000,"La Liga","13/14"
"Joris Mathijsen","Pre-Season","Defender","Netherlands","Hamburg","Malaga","Sold",2000000,"La Liga","11/12"
"Javier Malagueño","Pre-Season","Defender","Argentina","Indios","Malaga","Sold",2000000,"La Liga","10/11"
"Julio Baptista","Mid-Season","Attacker","Brazil","Roma","Malaga","Sold",2000000,"La Liga","10/11"
"Lukas Jutikiewicz","Pre-Season","Attacker","England","Middlesbrough","Burnley","Sold",2000000,"EPL","14/15"
"Mario Pasalic","Pre-Season","Midfielder","Croatia","Hajduk Split","Chelsea","Sold",2000000,"EPL","14/15"
"Doneil Henry","Mid-Season",NA,"Canada","Apollon Limassol","West Ham","Sold",2000000,"EPL","14/15"
"Antonio Luna","Pre-Season","Defender","Spain","Sevilla","Aston Villa","Sold",2000000,"EPL","13/14"
"Jose Campana","Pre-Season","Midfielder","Spain","Sevilla","Crystal Palace","Sold",2000000,"EPL","13/14"
"Aiden McGeady","Mid-Season",NA,"Ireland","Spartan Moscow","Everton","Sold",2000000,"EPL","13/14"
"Allan McGregor","Pre-Season","Goalkeeper","Scotland","Besiktas","Hull City","Sold",2000000,"EPL","13/14"
"Geoff Cameron","Pre-Season","Defender","USA","Houston Dynamo","Stoke","Sold",2000000,"EPL","12/13"
"Lewis Holtby","Mid-Season",NA,"Germany","Schalke","Tottenham","Sold",2000000,"EPL","12/13"
"Patrick Bamford","Mid-Season",NA,"England","Nottingham Forest","Chelsea","Sold",2000000,"EPL","11/12"
"Leroy Lita","Pre-Season","Attacker","England","Middlesbrough","Swansea City","Sold",2000000,"EPL","11/12"
"Carlos Salcido","Pre-Season","Defender","Mexico","PSV","Fulham","Sold",2000000,"EPL","10/11"
"Jonjo Shelvey","Pre-Season","Midfielder","England","Charlton","Liverpool","Sold",2000000,"EPL","10/11"
"Tommy Smith","Pre-Season",NA,NA,"Watford","Portsmouth","Sold",2000000,"EPL","09/10"
"Philipp Hosiner","Pre-Season","Attacker","Austria","Austria Wien","Rennes","Sold",1900000,"ROE","14/15"
"Jermaine Pennant","Mid-Season",NA,"England","Real Zaragoza","Stoke City","Sold",1900000,"EPL","10/11"
"Lindsay Rose","Pre-Season","Defender","France","Valenciennes","Lyon","Sold",1800000,"ROE","14/15"
"Mame Biram Diouf","Mid-Season","Attacker","Senegal","Manchester United","Hannover","Sold",1800000,"ROE","11/12"
"Niklas Moisander","Pre-Season","Defender","Finland","Sampdoria","Werder Bremen","Sold",1800000,"Bundesliga","16/17"
"Stefan Mitrovic","Pre-Season","Defender","Serbia","Benfica","Freiburg","Sold",1800000,"Bundesliga","14/15"
"Ante Budimir","Pre-Season","Attacker","Croatia","Crotone","Sampdoria","Sold",1800000,"Serie A","16/17"
"Simon Makienok","Pre-Season","Attacker","Denmark","Brondby","Palermo","Sold",1800000,"Serie A","14/15"
"Paulo Barreto","Mid-Season","Attacker","Brazil","Udinese","Torino","Sold",1800000,"Serie A","12/13"
"Daniel Carrico","Pre-Season","Midfielder","Portugal","Sporting Lisbon","Sevilla","Sold",1800000,"La Liga","14/15"
"Denis Suarez","Pre-Season","Attacker","Spain","Manchester City","Barcelona","Sold",1800000,"La Liga","13/14"
"Antonio Barragan","Pre-Season","Defender","Spain","Valladolid","Valencia","Sold",1800000,"La Liga","11/12"
"Mario Suarez","Pre-Season","Midfielder","Spain","Real Mallorca","Atletico Madrid","Sold",1800000,"La Liga","10/11"
"Alex Geijo","Pre-Season",NA,NA,"Levante","Racing Santander","Sold",1800000,"La Liga","09/10"
"Yannick Sagbo","Pre-Season","Attacker","Ivory Coast","Evian","Hull City","Sold",1800000,"EPL","13/14"
"Bongani Khumalo","Mid-Season",NA,"South Africa","SuperSport Utd","Tottenham","Sold",1800000,"EPL","10/11"
"Nemanja Matic","Pre-Season",NA,NA,"MFK Kosice","Chelsea","Sold",1800000,"EPL","09/10"
"Andreas Beck","Pre-Season","Defender","Germany","Hoffenheim","Besiktas","Sold",1750000,"ROE","15/16"
"John Brayford","Pre-Season","Defender","England","Derby County","Cardiff","Sold",1750000,"EPL","13/14"
"Barusso","Pre-Season",NA,NA,"Rimini","Roma","Sold",1700000,"Serie A","07/08"
"Lee Wallace","Pre-Season","Defender","Scotland","Hearts","Rangers","Sold",1700000,"ROE","11/12"
"Youssouf Hadji","Pre-Season","Defender","Morocco","Nancy","Rennes","Sold",1700000,"ROE","11/12"
"Kerem Demirbay","Pre-Season","Midfielder","Germany","Hamburg","Hoffenheim","Sold",1700000,"Bundesliga","16/17"
"Urby Emanuelson","Mid-Season","Defender","Netherlands","Ajax","AC Milan","Sold",1700000,"Serie A","10/11"
"Sergio Leon","Pre-Season","Attacker","Spain","Elche","Osasuna","Sold",1700000,"La Liga","16/17"
"Coke","Pre-Season","Goalkeeper","Spain","Rayo Vallecano","Sevilla","Sold",1700000,"La Liga","11/12"
"Yoan Gouffran","Mid-Season",NA,"France","Bordeaux","Newcastle","Sold",1700000,"EPL","12/13"
"Souleymane Coulibaly","Pre-Season","Attacker","Ivory Coast","Siena","Tottenham","Sold",1700000,"EPL","11/12"
"Andres Fernandez","Pre-Season","Goalkeeper","Spain","Osasuna","Porto","Sold",1600000,"ROE","14/15"
"Francisco Rodriguez","Pre-Season","Midfielder","Switzerland","Zurich","Wolfsburg","Sold",1600000,"Bundesliga","15/16"
"Davide Biraschi","Pre-Season","Defender","Italy","Avellino","Genoa","Sold",1600000,"Serie A","16/17"
"Jose Campana","Pre-Season","Midfielder","Spain","Crystal Palace","Sampdoria","Sold",1600000,"Serie A","14/15"
"Panagiotis Kone","Pre-Season","Midfielder","Greece","Brescia","Bologna","Sold",1600000,"Serie A","13/14"
"Pablo Hernandez","Pre-Season","Midfielder","Chile","O Higgins","Celta Vigo","Sold",1600000,"La Liga","14/15"
"Ruben Vezo","Mid-Season","Defender","Portugal","Vitoria FC","Valencia","Sold",1600000,"La Liga","13/14"
"Signorino","Pre-Season",NA,NA,"Nantes","Getafe","Sold",1500000,"La Liga","07/08"
"Alejandro Grimaldo","Mid-Season","Defender","Spain","Barcelona","Benfica","Sold",1500000,"ROE","15/16"
"Ivan Saponjic","Mid-Season","Attacker","Serbia","Partizan","Benfica","Sold",1500000,"ROE","15/16"
"Aras Ozbiliz","Mid-Season","Midfielder","Armenia","Spartak Moscow","Besiktas","Sold",1500000,"ROE","15/16"
"Hyun-Jun Suk","Mid-Season","Attacker","South Korea","Vitoria Setubal","Porto","Sold",1500000,"ROE","15/16"
"Yacouba Sylla","Pre-Season","Midfielder","Mali","Aston Villa","Rennes","Sold",1500000,"ROE","15/16"
"Alexander Soderlund","Mid-Season","Attacker","Norway","Rosenborg","Saint Etienne","Sold",1500000,"ROE","15/16"
"Oussama Tannane","Mid-Season","Midfielder","Netherlands","Heracles","Saint Etienne","Sold",1500000,"ROE","15/16"
"Elderson Echiejile","Mid-Season","Defender","Nigeria","Sporting Braga","Monaco","Sold",1500000,"ROE","13/14"
"Zacharie Boucher","Mid-Season","Goalkeeper","France","Havre","Toulouse","Sold",1500000,"ROE","13/14"
"Dirk Kuyt","Pre-Season","Midfielder","Netherlands","Liverpool","Fenerbahce","Sold",1500000,"ROE","12/13"
"Lindsay Rose","Mid-Season","Defender","France","Laval","Valenciennes","Sold",1500000,"ROE","12/13"
"Mateusz Klich","Pre-Season","Midfielder","Poland","Cracovia","Wolfsburg","Sold",1500000,"ROE","11/12"
"Mijat Gacinovic","Pre-Season","Midfielder","Serbia","Vojvodina","Eint. Frankfurt","Sold",1500000,"Bundesliga","15/16"
"Filip Mladenovic","Mid-Season","Defender","Serbia","BATE Borisov","Koln","Sold",1500000,"Bundesliga","15/16"
"Fallou Diagne","Pre-Season","Defender","Senegal","Rennes","Werder Bremen","Sold",1500000,"Bundesliga","16/17"
"Shawn Parker","Pre-Season","Attacker","Germany","Mainz","Augsburg","Sold",1500000,"Bundesliga","14/15"
"Ivica Olic","Mid-Season","Attacker","Croatia","Wolfsburg","Hamburg","Sold",1500000,"Bundesliga","14/15"
"Roy Beerens","Pre-Season","Midfielder","Netherlands","AZ Alkmaar","Hertha","Sold",1500000,"Bundesliga","14/15"
"Stefanos Kapino","Pre-Season","Goalkeeper","Greece","Panathinaikos","Mainz","Sold",1500000,"Bundesliga","14/15"
"Koen Casteels","Mid-Season","Goalkeeper","Belgium","Hoffenheim","Wolfsburg","Sold",1500000,"Bundesliga","14/15"
"Mateo Pavlovic","Mid-Season","Defender","Croatia","NK Zagreb","Werder Bremen","Sold",1500000,"Bundesliga","12/13"
"Anthony Mounier","Pre-Season","Midfielder","France","Montpellier","Bologna","Sold",1500000,"Serie A","15/16"
"Norbert Balogh","Mid-Season","Attacker","Hungary","Debrecen","Palermo","Sold",1500000,"Serie A","15/16"
"Bryan Cabezas","Pre-Season","Midfielder","Ecuador","Indepediente","Atalanta","Sold",1500000,"Serie A","16/17"
"Adam Nagy","Pre-Season","Midfielder","Hungary","Ferencvaros","Bologna","Sold",1500000,"Serie A","16/17"
"Simone Verdi","Pre-Season","Midfielder","Italy","AC Milan","Bologna","Sold",1500000,"Serie A","16/17"
"Norbert Gyomber","Pre-Season","Defender","Slovakia","Catania","Roma","Sold",1500000,"Serie A","16/17"
"Sasa Lukic","Pre-Season","Midfielder","Serbia","Partizan Belgrade","Torino","Sold",1500000,"Serie A","16/17"
"Patrice Evra","Pre-Season","Defender","France","Manchester United","Juventus","Sold",1500000,"Serie A","14/15"
"Sergio Floccari","Mid-Season","Attacker","Italy","Lazio","Sassuolo","Sold",1500000,"Serie A","13/14"
"Ahmed Hegazy","Pre-Season","Defender","Egypt","Ismaily","Fiorentina","Sold",1500000,"Serie A","12/13"
"Cristian Pasquato","Pre-Season","Attacker","Italy","Juventus","Udinese","Sold",1500000,"Serie A","12/13"
"Albin Ekdal","Pre-Season","Midfielder","Sweden","Juventus","Cagliari","Sold",1500000,"Serie A","11/12"
"Ruben Olivera","Mid-Season","Midfielder","Uruguay","Lecce","Fiorentina","Sold",1500000,"Serie A","11/12"
"Morgan De Sanctis","Pre-Season",NA,NA,"Sevilla","Napoli","Sold",1500000,"Serie A","09/10"
"Lucas Pérez","Pre-Season","Attacker","Spain","PAOK","Deportivo","Sold",1500000,"La Liga","15/16"
"Gerard Moreno","Pre-Season","Attacker","Spain","Villarreal","Espanyol","Sold",1500000,"La Liga","15/16"
"Oscar Duarte","Mid-Season","Defender","Costa Rica","Club Brugge","Espanyol","Sold",1500000,"La Liga","15/16"
"Florian Lejeune","Pre-Season","Defender","France","Manchester City","Eibar","Sold",1500000,"La Liga","16/17"
"Alejandro Galvez","Pre-Season","Defender","Spain","Werder Bremen","Eibar","Sold",1500000,"La Liga","16/17"
"Bebe","Pre-Season","Attacker","Portugal","Benfica","Eibar","Sold",1500000,"La Liga","16/17"
"Darko Brasanac","Pre-Season","Midfielder","Serbia","Partizan","Real Betis","Sold",1500000,"La Liga","16/17"
"Alvaro Medran","Pre-Season","Midfielder","Spain","Real Madrid","Valencia","Sold",1500000,"La Liga","16/17"
"Diogo Figueiras","Pre-Season","Defender","Portugal","Pacos Ferreira","Sevilla","Sold",1500000,"La Liga","13/14"
"Jonathan Pereira","Pre-Season","Attacker","Spain","Real Betis","Villarreal","Sold",1500000,"La Liga","13/14"
"Miroslav Stevanovic","Mid-Season","Midfielder","Bosnia","Vojvodina","Sevilla","Sold",1500000,"La Liga","12/13"
"Javier Hervas","Mid-Season","Midfielder","Spain","Cordoba","Sevilla","Sold",1500000,"La Liga","11/12"
"Ignacio Camacho","Mid-Season","Midfielder","Spain","Atletico Madrid","Malaga","Sold",1500000,"La Liga","10/11"
"Diego Ifran","Pre-Season","Attacker","Uruguay","Danubio","Real Sociedad","Sold",1500000,"La Liga","10/11"
"Ivan Rakitic","Mid-Season","Midfielder","Croatia","Schalke","Sevilla","Sold",1500000,"La Liga","10/11"
"Leandro Cabrera","Pre-Season",NA,NA,"Defensor Sporting","Atletico Madrid","Sold",1500000,"La Liga","09/10"
"Roberto Jimnez","Pre-Season",NA,NA,"Recreativo de Huelva","Atletico Madrid","Sold",1500000,"La Liga","09/10"
"Papa Diop","Pre-Season",NA,NA,"Gimnstic de Tarragona","Racing Santander","Sold",1500000,"La Liga","09/10"
"Marc Torrejn","Pre-Season",NA,NA,"Espanyol","Racing Santander","Sold",1500000,"La Liga","09/10"
"Sascha Riether","Pre-Season","Defender","Germany","Koln","Fulham","Sold",1500000,"EPL","13/14"
"Bryan Oviedo","Pre-Season","Defender","Costa Rica","FC Copenhagen","Everton","Sold",1500000,"EPL","12/13"
"Hadi Sacko","Pre-Season","Midfielder","France","Bordeaux","Sporting Lisbon","Sold",1400000,"ROE","14/15"
"Nicola Bellomo","Pre-Season","Midfielder","Italy","Bari","Torino","Sold",1400000,"Serie A","13/14"
"Javier Matilla","Pre-Season","Midfielder","Spain","Villarreal","Real Betis","Sold",1400000,"La Liga","11/12"
"Nicklas Helenius","Pre-Season","Attacker","Denmark","Aalborg","Aston Villa","Sold",1400000,"EPL","13/14"
"Krisztian Nemeth","Pre-Season","Attacker","Hungary","Liverpool","Olympiakos","Sold",1300000,"ROE","10/11"
"Franca","Mid-Season","Midfielder","Brazil","Coritiba","Hannover","Sold",1300000,"Bundesliga","12/13"
"Diego Capel","Pre-Season","Midfielder","Spain","Sporting Lisbon","Genoa","Sold",1300000,"Serie A","15/16"
"Blerim Dzemaili","Pre-Season","Midfielder","Switzerland","Galatasaray","Bologna","Sold",1300000,"Serie A","16/17"
"Panagiotis Tachtsidis","Pre-Season","Midfielder","Greece","Genoa","Torino","Sold",1300000,"Serie A","16/17"
"Rene Krhin","Pre-Season","Midfielder","Slovenia","Inter Milan","Granada","Sold",1300000,"La Liga","15/16"
"Theo Bongonda","Mid-Season","Attacker","Belgium","Zulte Waregem","Celta Vigo","Sold",1300000,"La Liga","14/15"
"Vitorino Antunes","Pre-Season","Defender","Portugal","Pacos Ferreira","Malaga","Sold",1300000,"La Liga","13/14"
"Kyle Bartley","Pre-Season","Defender","England","Arsenal","Swansea City","Sold",1300000,"EPL","12/13"
"Marten de Roon","Pre-Season","Midfielder","Netherlands","Heerenveen","Atalanta","Sold",1250000,"Serie A","15/16"
"Cazorla","Pre-Season",NA,NA,"Recreativo","Villarreal","Sold",1200000,"La Liga","07/08"
"Tomas Hubocan","Pre-Season","Defender","Slovakia","Dynamo Moscow","Marseille","Sold",1200000,"ROE","16/17"
"Stefan Mitrovic","Pre-Season","Defender","Serbia","Kortrijk","Benfica","Sold",1200000,"ROE","13/14"
"Adam Hlousek","Mid-Season","Attacker","Czech Rep","FK Jablonec","FC Nurnberg","Sold",1200000,"ROE","11/12"
"Taleb Tawatha","Pre-Season","Defender","Israel","Maccabi Haifa","Eint. Frankfurt","Sold",1200000,"Bundesliga","16/17"
"Haitam Aleesami","Pre-Season","Defender","Norway","Goteborg","Palermo","Sold",1200000,"Serie A","16/17"
"Adrian Stoian","Pre-Season","Midfielder","Romania","Bari","Roma","Sold",1200000,"Serie A","12/13"
"Carlos Aranda","Pre-Season",NA,NA,"Numancia","Osasuna","Sold",1200000,"La Liga","09/10"
"Joel Campbell","Pre-Season","Attacker","Costa Rica","Deporivo Saprissa","Arsenal","Sold",1100000,"EPL","11/12"
"Yassine Benzia","Pre-Season","Attacker","France","Lyon","Lille","Sold",1000000,"ROE","15/16"
"Vagner Love","Mid-Season","Attacker","Brazil","Corinthians","Monaco","Sold",1000000,"ROE","15/16"
"Remi Walter","Mid-Season","Midfielder","France","Nancy","Nice","Sold",1000000,"ROE","15/16"
"Nikolai Laursen","Pre-Season","Midfielder","Denmark","Brondby","PSV","Sold",1000000,"ROE","15/16"
"Karl Toko","Pre-Season","Attacker","Cameroon","Sochaux","Angers","Sold",1000000,"ROE","16/17"
"Igor Lewczuk","Pre-Season","Defender","Poland","Legia Warszava","Bordeaux","Sold",1000000,"ROE","16/17"
"Lucas Lima","Pre-Season","Defender","Brazil","Arouca","Nantes","Sold",1000000,"ROE","16/17"
"Eliseu","Pre-Season","Midfielder","Portugal","Malaga","Benfica","Sold",1000000,"ROE","14/15"
"Didier Ndong","Mid-Season","Midfielder","Gabon","CS Sfaxien","Lorient","Sold",1000000,"ROE","14/15"
"Oriol Rosell","Pre-Season","Midfielder","Spain","Sporting KC","Sporting Lisbon","Sold",1000000,"ROE","14/15"
"Naby Sarr","Pre-Season","Defender","France","Lyon","Sporting Lisbon","Sold",1000000,"ROE","14/15"
"Leigh Griffiths","Mid-Season","Attacker","Scotland","Wolverhampton","Celtic","Sold",1000000,"ROE","13/14"
"Stoppilla Sunzu","Mid-Season","Defender","Zambia","TP Mazembe","Sochaux","Sold",1000000,"ROE","13/14"
"Maor Melikson","Mid-Season","Midfielder","Israel","Wisla Krakow","Valenciennes","Sold",1000000,"ROE","12/13"
"Georges Mandjeck","Mid-Season","Defender","Cameroon","Rennes","Auxerre","Sold",1000000,"ROE","11/12"
"Mouhamadou Dabo","Pre-Season","Defender","Senegal","Sevilla","Lyon","Sold",1000000,"ROE","11/12"
"Chris Mavinga","Pre-Season","Defender","France","Liverpool","Rennes","Sold",1000000,"ROE","11/12"
"Lukas Schmitz","Pre-Season","Defender","Germany","Schalke","Werder Bremen","Sold",1000000,"ROE","11/12"
"Theofanis Gekas","Pre-Season","Attacker","Greece","Bayer Leverkusen","Eint. Frankfurt","Sold",1000000,"ROE","10/11"
"Marco Estrada","Pre-Season","Defender","Chile","Univ. de Chile","Montpellier","Sold",1000000,"ROE","10/11"
"Siaka Tiene","Pre-Season","Defender","Ivory Coast","Valenciennes","Paris S-G","Sold",1000000,"ROE","10/11"
"Philip Haglund","Mid-Season","Midfielder","Sweden","Brommapojkarna","Heerenveen","Sold",1000000,"ROE","09/10"
"Alejandro Bedoya","Mid-Season","Midfielder","United States","Nantes","Philadelphia Union","Sold",1000000,"MLS","16"
"Marius Wolf","Mid-Season","Attacker","Germany","1860 Munich","Hannover","Sold",1000000,"Bundesliga","15/16"
"Martin Hansen","Pre-Season","Goalkeeper","Denmark","Den Haag","Ingolstadt","Sold",1000000,"Bundesliga","16/17"
"Rafal Gikiewicz","Pre-Season","Goalkeeper","Poland","Braunschweig","SC Freiburg","Sold",1000000,"Bundesliga","16/17"
"Caiuby","Pre-Season","Attacker","Brazil","Ingolstadt","Augsburg","Sold",1000000,"Bundesliga","14/15"
"Hajime Hosogai","Pre-Season","Defender","Japan","Bayer Leverkusen","Hertha","Sold",1000000,"Bundesliga","13/14"
"Ondrej Petrak","Mid-Season","Midfielder","Czech Republic","Slavia Prague","Nuremberg","Sold",1000000,"Bundesliga","13/14"
"Felipe Santana","Pre-Season","Defender","Brazil","Bor. Dortmund","Schalke","Sold",1000000,"Bundesliga","13/14"
"Nikola Djurdjic","Mid-Season","Attacker","Serbia","Haugesund","Greuther Furth","Sold",1000000,"Bundesliga","12/13"
"Gilberto","Pre-Season","Defender","Brazil","Botafogo","Fiorentina","Sold",1000000,"Serie A","15/16"
"Martin Skriniar","Mid-Season","Defender","Slovakia","MSK Zilina","Sampdoria","Sold",1000000,"Serie A","15/16"
"Birkir Bjarnason","Pre-Season","Midfielder","Iceland","Pescara","Torino","Sold",1000000,"Serie A","15/16"
"Federico Ceccherini","Pre-Season","Defender","Italy","Livorno","Crotone","Sold",1000000,"Serie A","16/17"
"Hrvoje Milic","Pre-Season","Defender","Croatia","Hajduk Split","Fiorentina","Sold",1000000,"Serie A","16/17"
"Leonardo Capezzi","Pre-Season","Midfielder","Italy","Crotone","Sampdoria","Sold",1000000,"Serie A","16/17"
"Joshua Brillante","Pre-Season","Midfielder","Australia","Newcastle Jets","Fiorentina","Sold",1000000,"Serie A","14/15"
"Jose Holebas","Pre-Season","Defender","Greec","Olympiakos","Roma","Sold",1000000,"Serie A","14/15"
"Giorgi Chanturia","Pre-Season","Midfielder","Georgia","Cluj","Verona","Sold",1000000,"Serie A","14/15"
"Josip Elez","Pre-Season","Goalkeeper","Croatia","Hajduk Split","Lazio","Sold",1000000,"Serie A","13/14"
"Nicolas Lopez","Pre-Season","Attacker","Uruguay","Roma","Udinese","Sold",1000000,"Serie A","13/14"
"Bogdan Lobont","Pre-Season","Goalkeeper","Romania","Dinamo Bucarest","Roma","Sold",1000000,"Serie A","10/11"
"Dejan Drazic","Pre-Season","Attacker","Serbia","OFK Beograd","Celta","Sold",1000000,"La Liga","15/16"
"David Concha","Pre-Season","Midfielder","Spain","Racing Santander","Real Sociedad","Sold",1000000,"La Liga","15/16"
"Diego Rico","Pre-Season","Defender","Spain","Real Zaragoza","Leganes","Sold",1000000,"La Liga","16/17"
"Pablo Sarabia","Pre-Season","Midfielder","Spain","Getafe","Sevilla","Sold",1000000,"La Liga","16/17"
"Borja Viguera","Pre-Season","Attacker","Spain","Deportivo Alaves","Athletic Bilbao","Sold",1000000,"La Liga","14/15"
"Andreu Fontas","Pre-Season","Defender","Spain","Barcelona","Celta Vigo","Sold",1000000,"La Liga","13/14"
"Charles","Pre-Season","Attacker","Brazil","Almeria","Celta Vigo","Sold",1000000,"La Liga","13/14"
"Humberto Osorio","Pre-Season","Attacker","Colombia","San Martin","Real Valladolid","Sold",1000000,"La Liga","13/14"
"Daniel Diaz","Pre-Season","Defender","Argentina","Getafe","Atletico Madrid","Sold",1000000,"La Liga","12/13"
"Michael Krohn-Dehli","Pre-Season","Midfielder","Denmark","Brondby","Celta","Sold",1000000,"La Liga","12/13"
"Jonathan dos Santos","Pre-Season","Midfielder","Mexico","Barcelona","Real Zaragoza","Sold",1000000,"La Liga","11/12"
"Helder Postiga","Pre-Season","Attacker","Portugal","Sporting Lisbon","Real Zaragoza","Sold",1000000,"La Liga","11/12"
